Data\Frame,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,10 - 11,11 - 12,12 - 13,13 - 14,14 - 15,15 - 16,16 - 17,17 - 18,,ABS Diff
SHITOMASI - BRISK,-2.03807,-5.47935,-2.86048,-2.33933,-4.32328,-4.7983,-4.5865,-5.16876,-2.01967,-26.7243,-4.84825,-3.97107,-4.43612,-4.46593,-3.55326,-4.55209,-2.30298,-4.10504,,26.7243
BRISK-SIFT,-2.8082,-7.31402,-7.16897,-7.45221,-27.2496,-7.24887,-8.95402,-10.6682,-6.55651,-4.95708,-4.31619,-5.68227,-5.79269,-2.66057,-6.5367,-3.16044,-3.06633,-7.45952,,27.2496
ORB-ORB,-11.7499,-2.55003,-7.93749,-16.0062,-17.2784,-3.82566,-28.6426,-2.42944,-9.39671,-7.78624,-0.55302,-23.3246,-2.57611,-1.4921,-6.2727,-2.58942,-17.6815,-15.6453,,28.6426
FAST-BRISK,0.181267,-6.43403,-3.47445,-1.95185,-31.0718,-5.81914,-5.4523,-4.98334,-2.44912,-4.38987,-4.07939,-4.36905,-4.67732,-2.90687,-5.23136,-4.95586,-2.61731,-5.25019,,31.0718
FAST-SIFT,-0.195693,-5.95058,-0.805842,-0.850347,-34.9871,-6.59687,-29.8529,-3.31349,-2.19156,-5.22997,-4.07566,-4.23131,-6.01607,-3.75661,-4.8759,-3.04453,-1.74868,-3.80717,,34.9871
HARRIS-SIFT,0.445138,-3.72753,-2.50082,-6.6306,-2.7786,-6.24702,-5.94105,-45.4612,-2.98481,-4.15878,-4.77282,-4.41567,-5.35664,-4.09612,-3.05486,-3.99327,-3.64081,-8.01518,,45.4612
FAST-BRIEF,-0.633202,-6.20784,-1.29113,-1.94575,-20.0221,-6.77753,-85.0379,-2.89064,-2.32085,-4.34232,-4.43983,-4.48061,-5.32925,-3.5084,-5.14337,-2.75155,-2.06287,-3.42925,,85.0379
ORB-BRIEF,-3.44974,-9.39299,-20.3318,-14.5404,-16.9356,-11.3005,-32.2675,-23.3658,-262.071,-2.72892,-2.51144,-8.99674,-3.92168,-0.362174,-3.85722,-6.43085,-11.0584,-7.1101,,262.071
ORB-BRISK,-4.45251,-7.96061,-8.6301,-10.6245,-64.7555,-5.66038,-9.60386,-2.61803,-2.72429,-4.44476,-0.566875,-5408.59,-1.45944,-1.21633,-2.18699,-2.30617,-6.61339,-12.4753,,5408.59
HARRIS-ORB,0.401829,-4.01059,-2.71872,-17.5635,-4.2692,inf,-6.09719,-4.81021,-2.92783,-4.15336,-4.96318,-5.75863,-4.83708,-4.02,-3.2724,-4.24328,-2.7264,-6.66891,,inf
ORB-FREAK,1.09395,-17.6256,-6.94352,-0.602954,-43.6456,-28.8369,-119.835,-0.903881,-4.07487,553.904,-0.47985,inf,-0.152389,-47.7438,-2.05193,-4.03742,inf,-18.0206,,inf
ORB-SIFT,-3.75157,-3.66848,-8.6301,inf,-58.3381,-8.17365,-33.9616,-2.38182,-3.03457,-2.24243,-1.27427,inf,-2.58266,-10.5128,-7.02724,-2.97199,-11.0311,-9.60787,,inf
